Geography,Canada,,,,,,,,,,,,
Products,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23
,Dollars,,,,,,,,,,,,
"Beef stewing cuts, per kilogram 4",19.02,17.52,17.05,17.08,18.17,19.02,19.63,19.48,16.23,18.5,17.66,20.48,19.7
"Beef striploin cuts, per kilogram 4",19.53,27.98,23.32,27.7,27.08,26.87,26.04,32.11,26.22,27.67,25.47,23.95,20.67
"Beef top sirloin cuts, per kilogram 4",15.82,18.44,18.76,21.5,19.25,20.37,21.43,21.71,26.76,26.14,20.04,21.18,23.21
"Beef rib cuts, per kilogram 4",21.18,28.18,30.71,28.92,23.72,28.59,27.95,26.96,32.02,27.01,23.17,31.43,26.23
"Ground beef, per kilogram 4",10.92,10.64,9.92,10.31,11.12,11.23,11.5,11.19,11.45,11.69,11.82,11.72,12.71
"Pork loin cuts, per kilogram 4",9.28,9.65,7.9,7.92,9.57,8.88,8.72,8.93,9.13,9.29,8.99,8.78,9.19
"Pork rib cuts, per kilogram 4",10.05,8.67,9.01,8.97,8.64,8.7,8.16,8.86,9.4,8.89,8.72,9.21,9.71
"Pork shoulder cuts, per kilogram 4",6.16,4.48,6.18,5.79,7.41,8.58,8.8,7.35,8.35,6.53,6.74,7.43,7.23
"Whole chicken, per kilogram 4",6.58,5.86,6.39,6.21,5.96,5.98,6.14,6.99,6.98,6.16,6.74,5.9,6.47
"Chicken breasts, per kilogram 4",13.89,13.99,14.04,14.72,14.68,13.82,14.36,14.61,14.75,15.48,14.06,14.1,12.71
"Chicken thigh, per kilogram 4",11.96,12.1,11.48,11.96,12.26,12.16,12.78,12.47,12.64,12.49,12.41,11.82,13.06
"Chicken drumsticks, per kilogram 4",6.48,6.76,6.48,5.84,5.93,6.32,6.31,6.65,6.58,5.83,7.25,6.07,8.26
"Bacon, 500 grams 5",7.5,7.04,6.75,6.79,6.59,6.33,6.46,6.62,6.67,7.33,6.9,6.67,7
"Wieners, 400 grams 5",4.14,3.79,4.08,4.01,3.95,3.94,3.95,4.04,3.94,3.89,3.89,3.95,4.15
"Salmon, per kilogram 4",25.12,28.93,28.32,29.1,28.21,29.09,27.38,26.07,23.9,26.14,26.11,24.21,24.45
"Shrimp, 300 grams 5",8.16,7.91,7.73,7.54,7.89,7.97,7.93,7.89,7.81,7.83,7.66,7.59,7.84
"Canned salmon, 213 grams 5",4.9,4.79,4.42,4.85,4.65,4.71,4.45,5.1,5.02,4.61,4.96,4.86,4.65
"Canned tuna, 170 grams 4",1.81,1.75,1.85,1.86,1.83,1.85,2.01,1.72,1.9,1.96,1.66,1.82,1.88
"Meatless burgers, 226 grams 5",6.23,5.79,6,5.97,6.01,5.83,5.87,5.87,6.03,6.01,6.09,5.8,6.15
"Milk, 1 litre 4",2.91,2.89,2.95,2.96,2.97,2.97,2.98,3,3,2.99,2.96,2.94,2.96
"Milk, 2 litres 4",4.94,4.92,5.03,5.08,5.07,5.05,5.1,5.14,5.09,5.06,5.08,5.1,5.13
"Milk, 4 litres 4",6.3,6.29,6.42,6.45,6.46,6.45,6.43,6.39,6.4,6.37,6.38,6.4,6.42
"Soy milk, 1.89 litres 5",4.2,4.34,4.19,4.25,4.42,4.26,4.43,4.31,4.24,4.32,4.36,4.08,4.38
"Nut milk, 1.89 litres 5",4.11,4.23,4.13,4.21,4.31,4.11,4.33,4.17,4.18,4.23,4.22,3.92,4.19
"Cream, 1 litre 4",3.98,4.47,4.45,4.43,4.4,4.64,4.68,4.65,4.66,4.46,4.46,4.41,4.35
"Butter, 454 grams 4",6.16,5.87,6.42,5.5,6.34,6.42,6.24,6.27,5.94,5.53,6.12,5.91,6.09
"Margarine, 907 grams 5",7.08,7.15,7.03,7.3,7.35,7.46,7.5,7.61,7.43,7.6,7.47,7.25,7.55
"Block cheese, 500 grams 5",6.37,6.76,6.63,6.61,6.71,6.74,6.68,6.84,6.78,6.81,6.5,6.89,6.29
"Yogurt, 500 grams 5",3.26,3.16,3.13,3.19,3.18,3.23,3.23,3.33,3.26,3.26,3.26,3.2,3.41
"Eggs, 1 dozen 4",4.36,4.38,4.52,4.45,4.5,4.38,4.57,4.71,4.62,4.48,4.47,4.65,4.41
"Apples, per kilogram 4",5.87,5.36,5.61,5.95,5.76,5.93,6.09,6.04,6.08,4.5,4.63,5,5.78
"Oranges, per kilogram 4",4.08,4.11,3.61,4.37,4.18,4.91,4.93,4.8,4.71,3.82,3.76,3.83,4.13
"Oranges, 1.36 kilograms 4 5",5.72,5.59,5.28,5.76,5.81,6.44,6.49,6.35,6.24,5.45,5.46,5.46,5.88
"Bananas, per kilogram 4",1.71,1.72,1.71,1.69,1.69,1.7,1.71,1.69,1.68,1.68,1.68,1.67,1.67
"Pears, per kilogram 4",5.74,5.59,6.02,5.65,5.15,4.98,5.26,5.58,6.04,4.96,5.79,4.53,5.73
"Lemons, unit 4",0.94,0.91,0.97,0.94,0.98,0.91,0.89,0.9,0.92,0.85,0.86,0.91,0.96
"Limes, unit 4",0.81,0.8,0.83,0.85,0.87,0.83,0.77,0.76,0.79,0.76,0.8,0.85,0.87
"Grapes, per kilogram 4",7.72,7.15,7.55,6.7,6.52,10.14,8.82,6.63,6.55,7.57,7.55,8.52,9.01
"Cantaloupe, unit 4",3.75,3.64,3.86,3.15,3.16,4.09,3.9,3.21,2.61,3.22,4.06,4.18,3.8
"Strawberries, 454 grams 5",6.13,4.6,4.49,3.84,5.66,3.75,3.7,3.72,4.56,4.53,3.83,5.38,6.01
"Avocado, unit 4",1.87,1.8,1.65,1.71,2.06,1.95,2.01,2.02,2.18,2.07,2.24,2.04,2
"Potatoes, 4.54 kilograms 4",4.37,5.24,4.83,4.95,5.28,5.58,5.95,5.75,5.87,4.62,3.93,5.03,5.04
"Potatoes, per kilogram 4",4.67,4.59,4.76,4.81,5.13,5.21,5.27,5.29,5.17,4.99,4.99,4.97,5.08
"Sweet potatoes, per kilogram 4",3.32,4.06,3.99,3.96,3.5,4.49,4.52,4.59,4.63,4.03,3.34,4.08,3.42
"Tomatoes, per kilogram 4",6.99,6.85,5.85,5.25,4.7,4.23,4.55,4.66,4.36,4.27,4.79,5.17,5.64
"Cabbage, per kilogram 4",2.42,2.59,2.64,2.61,2.87,3.03,3.02,2.9,2.63,2.31,2.32,2.43,2.43
"Carrots, 1.36 kilograms 5",3.53,3.54,3.74,4.06,4.16,4.3,4.46,4.24,3.92,3.78,3.68,3.65,3.62
"Onions, per kilogram 4",5.34,5.24,5.41,5.3,5.29,5.27,5.29,5.42,5.42,5.42,5.23,5.24,5.47
"Onions, 1.36 kilograms 5",4.34,4.22,4.37,4.19,4.3,4.46,4.63,4.71,4.75,4.57,4.35,4.16,4.32
"Celery, unit 4",3.64,4.22,4.02,3.63,3.53,3.7,4.1,3.7,2.82,2.62,2.96,3.53,3.35
"Cucumber, unit 4",1.82,2.01,2.37,1.77,1.53,1.39,1.37,1.45,1.42,1.65,1.83,1.89,1.86
"Mushrooms, 227 grams 5",2.49,2.31,2.55,2.23,2.46,2.36,2.45,2.46,2.49,2.13,2.38,2.33,2.27
"Iceberg lettuce, unit 4",4.35,3.42,3.01,2.92,3.18,3.36,2.72,2.48,2.91,2.72,2.94,3.06,3.11
"Romaine lettuce, unit 4",4.53,4.11,3.58,3.29,3.4,3.54,2.8,2.3,2.3,2.5,2.51,2.96,2.99
"Broccoli, unit 4",3.22,3.28,3.11,2.83,2.94,3.18,3.05,2.56,2.55,2.29,2.33,2.87,2.68
"Peppers, per kilogram 4",8.92,8.98,8.83,8.29,8.47,8.11,7.97,7.69,6.08,5.89,7.37,8.57,9.02
"Squash, per kilogram 4",4.16,4.48,4.75,4.84,4.98,5.24,5.44,5.1,4.65,3.49,3.13,3.76,4.1
"Salad greens, 142 grams 5",4.5,4.49,4.48,4.59,4.62,4.68,4.48,4.42,4.49,4.41,4.59,4.59,4.68
"Frozen french fried potatoes, 750 grams 5",2.95,2.86,2.99,3.07,3.09,3.16,3.2,3.26,3.28,3.29,3.35,3.26,3.32
"Frozen green beans, 750 grams 5",3.56,3.58,3.77,3.94,3.85,3.95,3.88,3.9,3.85,3.85,3.85,4.04,4
"Frozen broccoli, 500 grams 4",3.47,3.84,3.87,4.03,3.82,4.12,4.11,4.06,4.15,4.03,3.75,4,3.63
"Frozen corn, 750 grams  5",3.23,3.33,3.48,3.58,3.46,3.64,3.63,3.64,3.62,3.51,3.46,3.7,3.51
"Frozen mixed vegetables, 750 grams  5",3.41,3.48,3.65,3.77,3.64,3.89,3.91,3.89,3.86,3.84,3.73,3.92,3.87
"Frozen peas, 750 grams 5",3.28,3.33,3.48,3.57,3.47,3.56,3.55,3.58,3.66,3.51,3.45,3.65,3.55
"Frozen pizza, 390 grams 5",4.27,4.81,4.6,4.73,4.95,4.77,4.91,4.82,5.09,4.73,4.85,4.73,4.7
"Frozen spinach, 300 grams 5",2.14,1.98,2.19,2.07,2.15,2.12,1.99,2,2.01,2.2,1.94,2.04,1.93
"Frozen strawberries, 600 grams 4",4.73,5.3,5.36,5.25,5.17,5.09,4.81,5.16,5.21,4.96,5.11,4.92,4.93
"White bread, 675 grams 5",3.7,3.65,3.55,3.64,3.56,3.59,3.74,3.58,3.53,3.54,3.63,3.59,3.46
"Flatbread and pita, 500 grams  5",3.77,3.84,3.91,3.79,3.91,3.93,4.07,4.16,4.09,4.18,4.08,4,4.15
"Crackers and crisp breads, 200 grams  4",2.74,2.94,2.95,2.89,2.89,2.91,2.93,2.98,2.97,2.92,2.76,2.77,2.66
"Cookies and sweet biscuits, 300 grams  5",3.01,3.14,3.2,3.27,3.31,3.29,3.15,3.31,3.26,3.21,3.13,3.12,3.29
"Dry or fresh pasta, 500 grams 5",3.64,3.63,3.67,3.73,3.55,3.51,3.2,3.42,3.37,3.33,3.39,3.41,3.56
"Brown rice, 900 grams  5",5.66,5.71,5.94,6.03,5.92,5.97,6.04,6.06,6.12,6.06,5.92,5.86,5.84
"White rice, 2 kilograms 5",9.42,9.78,9.55,9.71,9.47,9.95,9.6,9.69,9.67,9.84,9.65,9.63,9.53
"Cereal, 400 grams 5",4.14,4.04,4.09,4.1,4.17,4.22,4.21,4.27,4.19,4.09,4.16,4.17,4.13
"Wheat flour, 2.5 kilograms 5",5.72,5.75,5.73,5.69,5.59,5.77,5.69,5.79,5.63,5.58,5.64,5.46,5.68
"White sugar, 2 kilograms 5",2.83,2.93,2.99,2.44,2.59,2.93,2.79,2.89,2.97,2.45,2.77,2.92,3.03
"Apple juice, 2 litres 5",3.37,3.25,3.38,3.7,3.72,3.73,3.88,3.8,3.69,3.82,3.87,3.74,4
"Orange juice, 2 litres 5",4.06,4,4.23,4.57,4.44,4.64,4.73,4.73,4.65,4.84,4.53,4.7,4.95
"Roasted or ground coffee, 340 grams 5",6.4,6.4,6.58,6.3,6.38,6.62,6.74,6.75,6.71,6.57,6.39,6.56,6.56
Tea (20 bags) 4,4.25,4.27,4.32,4.31,4.35,4.37,4.3,4.6,4.54,4.47,4.48,4.39,4.29
"Ketchup, 1 litre 5",4.18,4.09,4.26,4.48,4.43,4.43,4.52,4.32,4.5,4.55,4.81,4.81,4.7
"Vegetable oil, 3 litres 5",11.41,11.38,11.33,11.35,11.26,11.76,12.79,11.27,11.29,10.33,11.07,10.35,10.48
"Canola oil, 3 litres 5",12.47,11.66,12.28,12.55,12.18,12.81,12.54,12.64,11.99,12.07,12.38,11.67,11.98
"Olive oil, 1 litre 5",9.81,10.39,10.26,10.58,11.66,11.96,12.62,12.25,12.89,11.56,12.81,14.01,14.33
"Baby food, 128 millilitres 5",1.49,1.48,1.57,1.63,1.62,1.63,1.71,1.73,1.7,1.67,1.54,1.64,1.57
"Infant formula, 900 grams  5",34.99,36.58,34.34,36.25,35.9,36.47,38.7,37.49,38.6,38.49,40.18,41.16,41.49
"Peanut butter, 1 kilogram 5",5.53,5.36,5.76,6.22,6.11,6.16,6.43,6.19,6.09,6.23,6.21,6.27,6.33
"Mayonnaise, 890 millilitres  5",6.23,6.09,6.43,6.52,6.44,6.34,6.29,6.43,6.45,6.46,6.46,6.51,6.46
"Canned baked beans, 398 millilitres 5",1.65,1.57,1.76,1.72,1.82,1.7,1.63,1.61,1.78,1.83,1.95,1.71,1.76
"Canned tomatoes, 796 millilitres 5",1.88,1.76,1.88,1.96,1.96,1.88,2.13,2.08,2.06,1.88,2.05,2.12,2.1
"Canned soup, 284 millilitres 5",1.65,1.38,1.63,1.34,1.66,1.48,1.47,1.64,1.29,1.38,1.18,1.56,1.77
"Canned beans and lentils, 540 millilitres 4",1.59,1.55,1.57,1.63,1.7,1.6,1.65,1.67,1.65,1.55,1.66,1.73,1.81
"Canned corn, 341 millilitres 5",1.33,1.46,1.64,1.59,1.5,1.59,1.67,1.67,1.68,1.46,1.49,1.6,1.51
"Canned peach, 398 millilitres 5",2.3,2.58,2.7,2.71,2.71,2.64,2.58,2.6,2.66,2.62,2.67,2.62,2.61
"Canned pear, 398 millilitres 5",2.46,2.65,2.69,2.56,2.61,2.68,2.74,2.7,2.7,2.74,2.74,2.62,2.63
"Dried lentils, 900 grams 5",3.79,3.95,3.96,3.91,3.97,3.9,3.86,3.89,3.87,3.83,3.91,3.97,4.02
"Dry beans and legumes, 900 grams  5",3.51,3.62,3.62,3.63,3.6,3.61,3.6,3.57,3.57,3.52,3.55,3.6,3.63
"Tofu, 350 grams  5",2.78,2.65,2.86,2.87,2.8,2.79,2.74,2.71,2.62,2.62,2.68,2.66,2.66
"Hummus, 227 grams 5",3.81,3.85,3.85,3.94,3.88,3.86,3.84,3.9,3.87,3.98,3.89,3.85,3.65
"Salsa, 418 millilitres 5",4.23,4.34,4.4,4.5,4.67,4.75,4.67,4.73,4.82,4.76,4.75,4.7,4.67
"Pasta sauce, 650 millilitres 5",3,3.08,3.04,3.13,3.05,3.33,3.19,3.27,3.06,2.95,3.15,3.1,3.43
"Salad dressing, 475 millilitres 5",3.34,3.32,3.48,3.52,3.42,3.41,3.3,3.38,3.43,3.44,3.41,3.41,3.39
"Almonds, 200 grams 5",4.98,5.12,5.11,4.61,4.97,4.97,4.85,4.99,4.99,4.58,4.74,4.58,4.6
"Peanuts, 450 grams 5",3.56,3.54,3.61,3.75,3.74,3.72,3.59,3.71,3.71,3.88,3.88,3.76,3.83
"Sunflower seeds, 400 grams  5",4.44,4.39,4.47,4.57,4.62,4.64,4.41,4.51,4.5,4.32,4.4,4.42,4.43
"Deodorant, 85 grams 5",6.79,6.79,6.76,7.03,7.43,7.4,7.41,7.31,7.26,7.4,7.17,7.25,7.44
"Toothpaste, 100 millilitres 5",3.8,3.5,3.77,3.77,3.72,3.84,3.74,3.87,3.69,3.84,3.65,3.82,3.86
"Shampoo, 400 millilitres 5",6.27,6.31,6,6.37,6.44,6.51,6.54,6.61,6.57,6.65,6.78,6.63,6.8
"Laundry detergent, 4.43 litres 5",15.51,15.03,16.07,15.26,15.97,15.65,16.22,15.54,15.35,16.09,15,15.6,15.79
